Label,Tunnel_Location_tm,category,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4
DELOS Borehole,2036.7,subsurface,59.91,0,24.96,0.54,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2065,subsurface,51.12,0,26.83,0.63,,0,,
DELOS Borehole,2065,subsurface,51.95,0,27.15,0.57,,0,,
DELOS Borehole,2067,subsurface,10.83,0,15.65,0.43,,0,,
DELOS Borehole,2036.7,subsurface,59.87,0,24.98,0.45,,0,,
DELOS Borehole,2030,subsurface,,,,,,0,,
DELOS Borehole,2065,subsurface,55.18,0,27.21,0.71,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2065,subsurface,,,,,,0,,
DELOS Borehole,2067,subsurface,11.22,0,15.87,0.5,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,40.16,0.12,17.92,0.52,,0,,
DELOS Borehole,2030,subsurface,25.22,0,17.98,0.53,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,60.17,0,24.92,0.44,,0,,
DELOS Borehole,2065,subsurface,51.88,0,26.26,0.48,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,59.63,0,24.51,0.42,,0,,
DELOS Borehole,2065,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,42.3,0,27.5,0.45,,0,,
DELOS Borehole,2030,subsurface,45.05,0,27.86,0.35,,0,,
DELOS Borehole,2030,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,47.46,0,28.44,0.35,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,48.15,0,28.8,0.35,,0,,
DELOS Borehole,2030,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,51.54,0,29.05,0.35,,0,,
DELOS Borehole,2030,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,83.62,0,34.22,0.46,,0,,
DELOS Borehole,2036.7,subsurface,57.95,0,24.83,0.65,,0,,
DELOS Borehole,2065,subsurface,60.76,0,27.68,0.74,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,83.28,0,35.19,0.6,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,58.44,0,24.69,0.51,,0,,
DELOS Borehole,2065,subsurface,,,,,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,84.48,0,34.94,0.44,,0,,
DELOS Borehole,2036.7,subsurface,58.2,0,24.43,0.48,,0,,
DELOS Borehole,2030,subsurface,84.87,0,35.26,0.49,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,58.24,0,24.44,0.48,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,85.51,0,35.36,0.46,,0,,
DELOS Borehole,2030,subsurface,87.32,0,35.13,0.47,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,84.82,0,35.18,0.48,,0,,
DELOS Borehole,2030,subsurface,84.58,0,35.86,0.56,,0,,
DELOS Borehole,2036.7,subsurface,9.35,0,3.91,0,,0,,
DELOS Borehole,2030,subsurface,83.96,0,35.34,0.62,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,82.48,0,35.28,0.61,,0,,
DELOS Borehole,2036.7,subsurface,,,,,,0,,
DELOS Borehole,2030,subsurface,81.55,0,34.61,0.46,,0,,
DELOS Borehole,2030,subsurface,81.93,0,34.92,0.45,,0,,
DELOS Borehole,2030,subsurface,81.43,0,35,0.54,,0,,
DELOS Borehole,2030,subsurface,84.35,0,35.32,0.61,,0,,
DELOS Borehole,2036.7,subsurface,59.34,0,25.36,0.68,,0,,
DELOS Borehole,2030,subsurface,84.66,0,34.87,0.45,,0,,
DELOS Borehole,2030,subsurface,86.4,0,35.81,0.46,,0,,
DELOS Borehole,2043,subsurface,17.32,0,24.68,0.57,,0,,
DELOS Borehole,2043,subsurface,52.89,0,26.02,0.65,,0,,
DELOS Borehole,2030,subsurface,84.29,0,34.59,0.46,,0,,
DELOS Borehole,2043,subsurface,66.43,0,28.53,0.61,,0,,
DELOS Borehole,2030,subsurface,84.77,0,34.81,0.5,,0,,
DELOS Borehole,2043,subsurface,98.15,0,30.71,0.73,,0,,
DELOS Borehole,2030,subsurface,85.44,0,35.1,0.51,,0,,
DELOS Borehole,2030,subsurface,86.34,0,35.09,0.52,,0,,
DELOS Borehole,2067,subsurface,11.58,0,15.4,0.44,,0,,
DELOS Borehole,2036.7,subsurface,63.38,0,24.81,0.58,,0,,
DELOS Borehole,2023.3,subsurface,67.45,0,25.15,0.61,,0,,
DELOS Borehole,2023.3,subsurface,,,,,,0,,
DELOS Borehole,2050,subsurface,35.28,0.2,24.43,0.85,,0,5.04,91.76
DELOS Borehole,2043,subsurface,107.17,1.12,29.25,0.47,,0,8.26,264.86
DELOS Borehole,2043,subsurface,,,,,,0,,
DELOS Borehole,2043,subsurface,,,,,,0,,
DELOS Borehole,2043,subsurface,48.61,0,23.79,0.36,,0,6.75,123.99
DELOS Borehole,2043,subsurface,,,,,,0,,
