,depth,sulfate_ppm,T_degC,pH_field,Flowrate_lps,d18O_ppt
BdTfrac1306B-20201215_S11.cropped.trimmed.joined.fastq.gzjoin,698,55.89,9.2,7.9,0.24,-13.4
BdTfrac1494-20201215_S18.cropped.trimmed.joined.fastq.gzjoin,829,297.58,13.1,7.89,0.027,-13.93
BdTfrac2647-20201215_S26.cropped.trimmed.joined.fastq.gzjoin,1254,96.33,16.5,7.87,0.0016,-14.25
BdTfrac2794-20201214_S27.cropped.trimmed.joined.fastq.gzjoin,1305,28.07,14.9,7.89,0.03,-14.11
BdTfrac2848A-20201214_S28.cropped.trimmed.joined.fastq.gzjoin,1332,12.61,13.1,8.34,1,-13.84
BdTfrac4166-20201214_S33.cropped.trimmed.joined.fastq.gzjoin,1062,4.65,14.8,8.74,0.026,-14.62
BdTfrac4348-20201214_S35.cropped.trimmed.joined.fastq.gzjoin,1017,21.24,18.3,8.62,0.063,-14.73
BdTfrac4447-20201214_S43.cropped.trimmed.joined.fastq.gzjoin,1048,16.75,18,8.58,0.0448,-14.68
BdTfrac4652-20201214_S44.cropped.trimmed.joined.fastq.gzjoin,1090,12.45,18.3,8.46,0.0136,-14.57
BdTfrac4752-20201214_S48.cropped.trimmed.joined.fastq.gzjoin,1099,13.99,18.5,8.05,0.0204,-14.46
BdTfrac4846-20201214_S49.cropped.trimmed.joined.fastq.gzjoin,1146,15.33,18.3,8.24,0.0037,-14.44
BdTfrac5132-20201214_S50.cropped.trimmed.joined.fastq.gzjoin,1265,15.19,18.9,9.2,0.015,-14.69
BdTfrac1306C-20201103_S12.cropped.trimmed.joined.fastq.gzjoin,699,71.11,10.5,8.5,0.1,-13.55
BdTfrac1494-20201103_S17.cropped.trimmed.joined.fastq.gzjoin,829,270.18,13.4,8.12,0.029,-13.93
BdTfrac444-20201215_S36.cropped.trimmed.joined.fastq.gzjoin,281,23.85,7.9,7.39,0.007,-12.79
