ID_sheet,ID,type,location_name,Tunnelwall,Borehole_interval,Borehole_depth_top,Borehole_depth_bottom,Tunnel_Location_tm,Date_ddmmmyy,time_hhmm,overburden_m,geology,categories,fluorid_ppm,chloride_ppm,nitrate_ppm,sulfate_ppm,CO3_ppm,lithium_ppm,sodium_ppm,potassium_ppm,magnesium_ppm,calcium_ppm,T_degC,pH_field,pH_lab,EC_field_ySpcm,EC_lab_ySpcm,TDS_ppm,ORP_mV,Flowrate_lps,MPF,d18O_ppt,dD_ppt,d18O_ppt_2,dD_ppt_2,CBE_pc,mixing_st1nit1_2,notes,Name,pH,EC,Q,Temperature,Fluoride,Chloride,Nitrite,Bromide,Nitrate,Phosphate,Sulfate,Lithium,Sodium,Ammonium,Potassium,Magnesium,Calcium,Strontium,Lab_pH,Lab_EC,qPCR_mean,qPCR_std,Map ID,python_ID,python_date,Excel_TM,Excel_Overburden,Excel_Geology,Excel_Category
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Airolo_Spring.20210627,,144,,7.8,0,0.27,,,0.23,,15.16,0.25,1.25,,4.02,6.63,21.43,,6.778,124.7,,,,Airolo_Spring,20210627,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdInjTank_1.20211117,,,,,1.8,0.21,,,0.78,,13.25,,,,,,,,,,,,,BdInjTank_1,20211117,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdInjTank_2.20211117,,,,,1.91,0.25,,,0.75,,13.18,,,,,,,,,,,,,BdInjTank_2,20211117,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdInjTank_3.20211117,,,,,1.64,0.27,,,0.67,,12,,,,,,,,,,,,,BdInjTank_3,20211117,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdInjTank_4.20211117,,,,,1.98,0.2,,,0.74,,13.37,,,,,,,,,,,,,BdInjTank_4,20211117,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdInjTank_5.20211117,,,,,2.04,0.23,,,0.73,,12.56,,,,,,,,,,,,,BdInjTank_5,20211117,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdInjTank_6.20211118,,,,,2.1,0.26,,,0.77,,13.22,,,,,,,,,,,,,BdInjTank_6,20211118,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdRW.20210713,,,,,,0.11,,,0.5,,0.3,,,,,,,,,,,,,BdRW,20210713,,,,surface
492,airolo_spring_38,spring,BdSAiroloSpr,,,,,,27.06.2021,17:45,,,surface,0,0.27,0.23,15.16,,0.25,1.25,4.02,6.63,21.43,7.8,7.1,6.778,144,124.7,104,198,,1,-12.2,-83.23,-12.21,-82.35,,,,BdSAiroloSpr.20210627,,,,,,,,,,,,,,,,,,,,,,,,BdSAiroloSpr,20210627,,,,surface
491,riale_di_allacqua_bridge_38,stream,BdSAllAcquaBridge,,,,,,27.06.2021,16:40,,,surface,0.88,0.01,0.13,0.93,,0,0.65,0.35,0.16,5.68,8,7.5,7.272,20.1,17.1,13.9,145,,1,-14.2,-97.6,-14.19,-96.97,,,,BdSAllAcquaBridge.20210627,,20.1,,8,0.88,0.01,,,0.13,,0.93,0,0.65,,0.35,0.16,5.68,,7.272,17.1,,,,BdSAllAcquaBridge,20210627,,,,surface
478,riale_di_allacqua_up_38,stream,BdSAllAcquaUp,,,,,,27.06.2021,10:25,,,surface,0.89,0.01,0.6,0.64,,0,0.87,0.26,0.11,5.1,6.8,7.8,9.17,20.3,14.7,14.4,156,,1,-14.2,-98.7,-14.42,-97.85,,,,BdSAllAcquaUp.20210627,,20.3,,6.8,0.89,0.01,,,0.6,,0.64,0,0.87,,0.26,0.11,5.1,,9.17,14.7,,,,BdSAllAcquaUp,20210627,,,,surface
477,riale_di_bedretto_bridge_38,stream,BdSBedrettoBridge,,,,,,27.06.2021,07:46,,,surface,0.22,0.01,0.35,3.28,,0,1.04,1,0.37,6.27,7.1,8.2,9.34,39.2,25.3,27.1,162,,1,,,,,,,,BdSBedrettoBridge.20210627,,39.2,,7.1,0.22,0.01,,,0.35,,3.28,0,1.04,,1,0.37,6.27,,9.34,25.3,,,,BdSBedrettoBridge,20210627,,,,surface
487,riale_di_bedretto_up_38,stream,BdSBedrettoUp,,,,,,27.06.2021,14:50,,,surface,0.48,0.01,0,1.58,,0,0.69,0.4,0.17,4.56,6.7,6.9,8.496,26.1,14.1,18.6,150,,1,,,-13.82,-95.05,,,,BdSBedrettoUp.20210627,,26.1,,6.7,0.48,0.01,,,0,,1.58,0,0.69,,0.4,0.17,4.56,,8.496,14.1,,,,BdSBedrettoUp,20210627,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no standard parameters taken,BdSFKbflow.20211011,,,,,0.34,0.05,,,1.14,,16.7,,,,,,,,,,202534.6404,58736.38122,,BdSFKbflow,20211011,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdSfkBflow.20211011,,,,,0.34,0.05,,,1.14,,16.7,,,,,,,,,,,,,BdSfkBflow,20211011,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdSFKgb2.20210827,6.8,11,,0.8,,,,,,,,,,,,,,,,,11522753.14,3880477.817,,BdSFKgb2,20210827,,,,surface
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BdSFKgm1.20210827,7.8,1.9,,0.3,,,,,,,,,,,,,,,,,1273809.468,389778.7247,,BdSFKgm1,20210827,,,,surface
