full_name,location_id
BdSFKbflow-20211011_S1.cropped.trimmed.joined.fastq.gzjoin,Surface
BdSFKgb2-20210827_S2.cropped.trimmed.joined.fastq.gzjoin,Surface
BdSFKgm1-20210827_S3.cropped.trimmed.joined.fastq.gzjoin,Surface
BdSFKlake1-20211011_S4.cropped.trimmed.joined.fastq.gzjoin,Surface
BdSFKlake3-20210827_S5.cropped.trimmed.joined.fastq.gzjoin,Surface
BdSlakeAA2-20210821-A_S6.cropped.trimmed.joined.fastq.gzjoin,Surface
BdSLakeAA3-20210821_S8.cropped.trimmed.joined.fastq.gzjoin,Surface
BdSstrAA1-20210821_S9.cropped.trimmed.joined.fastq.gzjoin,Surface
BdSTicinoRiverBridge-20210821_S10.cropped.trimmed.joined.fastq.gzjoin,Surface
GtsISCinj2-20210401-3L_S60.cropped.trimmed.joined.fastq.gzjoin,Grimsel
GtsPinkel-20210401_S62.cropped.trimmed.joined.fastq.gzjoin,Grimsel
GtsSB80001-20210401_S63.cropped.trimmed.joined.fastq.gzjoin,Grimsel
BdTfrac444-20201215_S36.cropped.trimmed.joined.fastq.gzjoin,TM-0444
BdTfrac444-20210119_S37.cropped.trimmed.joined.fastq.gzjoin,TM-0444
BdTfrac444-20210304_S38.cropped.trimmed.joined.fastq.gzjoin,TM-0444
BdTfrac444-20210322_S39.cropped.trimmed.joined.fastq.gzjoin,TM-0444
BdTfrac444-20210521_S40.cropped.trimmed.joined.fastq.gzjoin,TM-0444
BdTfrac444-20210708_S41.cropped.trimmed.joined.fastq.gzjoin,TM-0444
BdTfrac444-20211130_S42.cropped.trimmed.joined.fastq.gzjoin,TM-0444
BdTfrac1306C-20201103_S12.cropped.trimmed.joined.fastq.gzjoin,TM-1306
BdTfrac1306C-20210119_S14.cropped.trimmed.joined.fastq.gzjoin,TM-1306
BdTfrac1306C-20210304_S15.cropped.trimmed.joined.fastq.gzjoin,TM-1306
BdTfrac1306C-20211115_S16.cropped.trimmed.joined.fastq.gzjoin,TM-1306
BdTfrac1494-20201103_S17.cropped.trimmed.joined.fastq.gzjoin,TM-1494
BdTfrac1494-20201215_S18.cropped.trimmed.joined.fastq.gzjoin,TM-1494
BdTfrac1494-20210119_S19.cropped.trimmed.joined.fastq.gzjoin,TM-1494
BdTfrac1494-20210304_S20.cropped.trimmed.joined.fastq.gzjoin,TM-1494
BdTfrac1494-20210505_S21.cropped.trimmed.joined.fastq.gzjoin,TM-1494
BdTfrac1494-20210521_S22.cropped.trimmed.joined.fastq.gzjoin,TM-1494
BdTfrac1494-20210601_S23.cropped.trimmed.joined.fastq.gzjoin,TM-1494
BdTfrac1494-20210708_S24.cropped.trimmed.joined.fastq.gzjoin,TM-1494
BdTfrac1494-20211130_S25.cropped.trimmed.joined.fastq.gzjoin,TM-1494
BdTfrac2848A-20201214_S28.cropped.trimmed.joined.fastq.gzjoin,TM-2848
BdTfrac2848A-20210303_S29.cropped.trimmed.joined.fastq.gzjoin,TM-2848
BdTfrac2848A-20210708_S30.cropped.trimmed.joined.fastq.gzjoin,TM-2848
BdTfrac2848A-20211201_S31.cropped.trimmed.joined.fastq.gzjoin,TM-2848
BdTfrac4652-20201214_S44.cropped.trimmed.joined.fastq.gzjoin,TM-4652
BdTfrac4652-20210203_S45.cropped.trimmed.joined.fastq.gzjoin,TM-4652
BdTfrac4652-20210708_S46.cropped.trimmed.joined.fastq.gzjoin,TM-4652
BdTfrac4652-20211201_S47.cropped.trimmed.joined.fastq.gzjoin,TM-4652
