ID_sheet,ID,type,location_name,Tunnelwall,Borehole_interval,Borehole_depth_top,Borehole_depth_bottom,Tunnel_Location_tm,Date_ddmmmyy,time_hhmm,overburden_m,geology,categories,fluorid_ppm,chloride_ppm,nitrate_ppm,sulfate_ppm,CO3_ppm,lithium_ppm,sodium_ppm,potassium_ppm,magnesium_ppm,calcium_ppm,T_degC,pH_field,pH_lab,EC_field_ySpcm,EC_lab_ySpcm,TDS_ppm,ORP_mV,Flowrate_lps,MPF,d18O_ppt,dD_ppt
15,1303_01,fracture,BdTfrac1303,SW_NE,,,,1303,20.08.2020,,698,granite,subsurface,1.04,2.98,0.89,11.69,,0.07,2.17,0.15,1.09,13.97,9.3,9.2,8.44,88.6,61.4,63.7,,0.019,1,,
21,1306A_01,fracture,BdTfrac1306A,SW_NE,,,,1306.1,20.08.2020,,698,granite,subsurface,1.33,3.28,0.89,25.46,,0,3.19,0.04,1.16,34.95,10,9.04,8.32,124.5,96,88.4,,0.036,1,,
28,1306B_01,fracture,BdTfrac1306B,SW_NE,,,,1306.2,20.08.2020,,698,granite,subsurface,1.77,3.92,0,49.95,,0.01,7.13,0.04,1.46,41.8,10.6,9.25,8.24,190,149.6,134,,0.083,1,,
35,1306C_01,fracture,BdTfrac1306C,SW_NE,,,,1306.3,20.08.2020,,698,granite,subsurface,1.95,4.5,0.9,68.41,,0.02,9.74,0.06,1.1,34.59,11.5,9.1,8.22,238,188.5,169,,0.07,1,,
42,1494_01,fracture,BdTfrac1494,SW_NE,,,,1494,20.08.2020,,829,granite,subsurface,5.4,9.35,0,289.48,,0.14,31.21,0.17,1.09,103.93,15.4,8.78,8,692,538,489,,0.034,1,,
52,1993_01,fracture,BdTfrac1993,SW_SW,,,,1993,20.08.2020,,1056,granite,subsurface,4.96,10.02,0,365.2,,0.17,34.43,0.36,1.09,130.34,17.7,8.78,7.92,817,648,580,,0.027,1,,
62,2647_01,fracture,BdTfrac2647,SW_NE,,,,2647,20.08.2020,,1254,granite,subsurface,6.11,5.66,0,92.74,,0.01,24.25,0.22,1.09,35.69,18.5,8.88,7.37,239,309,220,,0.0014,1,,
68,2794_01,fracture,BdTfrac2794,,,,,2794,20.08.2020,,1305,granite,subsurface,3.14,3.36,0,19.51,,0.06,9.05,0.64,1.15,23.01,16.9,9.2,7.67,120.5,90.7,85.5,,0.04,1,,
74,2848A_01,fracture,BdTfrac2848A,SW_SW,,,,2848.1,20.08.2020,,1332,granite,subsurface,1.83,2.95,1.1,11.3,,0,6.6,0.32,1.1,10.91,14.6,9.56,8.45,89.2,65.2,53.1,,,1,,
80,2848B_01,fracture,BdTfrac2848B,SW_SW,,,,2848.2,20.08.2020,,1332,granite,subsurface,3.38,3.49,0,56.75,,0,15.4,0.39,1.09,23.93,18,9.34,8.14,202,160.9,143,,0.141,1,,
86,3191_01,fracture,BdTfrac3191,SW_NE,,,,3191,20.08.2020,,1584,granite,subsurface,4.59,3.11,0,25.43,,0,15.5,0.21,1.18,27.2,19.2,9.62,7.9,137.8,103,97.5,,0.025,2.5,,
91,3192_01,fracture,BdTfrac3192,SW_NE,,,,3192,20.08.2020,,1583,granite,subsurface,4.23,3.43,0,49.85,,0,17.97,0.27,1.3,33.06,19,9.34,7.97,191.6,148.4,137,,0.0054,2,,
169,cb2_p3_01,borehole,BdWcb2,,3,177.24,195.24,2043,20.08.2020,,,granite,subsurface,8.99,8.26,0,264.86,,0.1,29.25,0.47,1.12,107.17,18.2,7.69,7.43,648,487,458,,0.007,1,,
172,cb2_p4_01,borehole,BdWcb2,,4,166.73,175.73,2043,20.08.2020,,,granite,subsurface,8.76,6.75,0,123.99,,0.08,23.79,0.36,0,48.61,18.1,7.3,7.37,380,283,268,23.79,0.003,1,,
175,cb2_p5_01,borehole,BdWcb2,,5,156.19,165.19,2043,20.08.2020,,,granite,subsurface,8.86,7.25,0,190.93,,0.1,26.96,0.39,1.08,71.47,18.7,6.87,7.26,497,385,353,26.96,0.007,1,,
178,cb2_p7_01,borehole,BdWcb2,,7,125.14,140.14,2043,20.08.2020,,,granite,subsurface,8.02,5.77,0,49.63,,0.1,22.22,0.4,1.18,34.73,17.9,7.05,7.42,219,165.8,155,22.22,0.006,1,,
181,cb3_01,borehole,BdWcb3,,TB,0,192,2037,20.08.2020,,,granite,subsurface,7.56,5.45,0,42.09,,0.04,21.22,1.56,1.97,32.4,19.2,9.76,9.19,195,158.9,138.5,,0.25,1,,
277,ditch_2000_01,ditch,BdTditch2000,,,,,2097,20.08.2020,17:16,,,subsurface,2.8,3,0.91,14.64,,0,9.95,0.37,1.15,20.01,17.1,8.6,8.4,101.4,80,72.1,,,1,,
22,1306A_02,fracture,BdTfrac1306A,SW_NE,,,,1306.1,16.09.2020,,698,granite,subsurface,1,0.78,0.53,27.64,,0.59,3.02,0.35,0.21,19.79,9.1,9.14,8.03,119.3,92,84.8,,0.05,1,,
29,1306B_02,fracture,BdTfrac1306B,SW_NE,,,,1306.2,16.09.2020,,698,granite,subsurface,1.3,1.6,0.4,53.33,,0.97,7.31,0.67,0.25,28.22,10.4,9.1,8.01,185,137.2,85,,0.22,1,,
36,1306C_02,fracture,BdTfrac1306C,SW_NE,,,,1306.3,16.09.2020,,698,granite,subsurface,1.46,2.41,0,73.86,,0.08,10.34,0.32,0.22,35.78,11.8,8.99,7.97,229,173.7,164,,0.102,1,,
53,1993_02,fracture,BdTfrac1993,SW_SW,,,,1993,16.09.2020,,1056,granite,subsurface,3.79,9.75,0,358.12,,0.16,34.81,0.45,0.21,146.05,17,8.65,7.78,787,600,559,,0.027,1,,
168,cb1_02,borehole,BdWcb1,,TB,0,300,2050,16.09.2020,,,granite,subsurface,5.92,5.04,0,91.76,,0.06,24.43,0.85,0.2,35.28,17.9,9.53,7.98,289,221,206,,0.14,1,,
182,cb3_02,borehole,BdWcb3,,TB,0,192,2037,16.09.2020,,,granite,subsurface,5.66,3.1,0,51.12,,0.03,21.47,0.81,0.19,18.25,18.2,9.2,8.05,197.8,147,140,21.47,0.127,1,,
183,cb4_02,borehole,BdWcb4,,TB,0,250,2016.6,16.09.2020,,,granite,subsurface,6.1,4.03,0,134.62,,0.06,22.19,0.43,0.19,55.26,18,9.36,7.79,395,297,280,22.19,0.163,1,,
196,st2_02,borehole,BdWst2,,TB,0,349,2065,16.09.2020,,,granite,subsurface,6.11,4.21,0,95.13,,0.04,24.21,2.53,0.19,35.24,19.3,9.55,7.86,297,222,210,,,1,-13.89,-96.24
16,1303_03,fracture,BdTfrac1303,SW_NE,,,,1303,25.09.2020,,698,granite,subsurface,0.77,0.43,0.58,11.34,,0.64,1.59,0.21,0.2,13.4,11.2,9.3,8.58,73.5,59.2,50.35,,0.012,1,-13.38,-92.48
23,1306A_03,fracture,BdTfrac1306A,SW_NE,,,,1306.1,25.09.2020,,698,granite,subsurface,0.78,0.71,0.6,26,,0.64,2.92,0.29,0.2,20.18,10.8,9.7,8.6,113.05,91.4,78.3,,0.045,1,-13.45,-92.74
30,1306B_03,fracture,BdTfrac1306B,SW_NE,,,,1306.2,25.09.2020,,698,granite,subsurface,1.17,2.19,0,58.01,,0,7.81,0.13,0.21,28.82,11.5,9.12,8.55,178.05,148.6,122.5,,0.1,1,-13.3,-93.31
37,1306C_03,fracture,BdTfrac1306C,SW_NE,,,,1306.3,25.09.2020,,698,granite,subsurface,1.48,2.84,0.4,73.64,,0.01,9.74,0.39,0.2,34.28,12.2,9.01,8.57,226.5,178.6,155.5,,0.05,1,-13.63,-93.91
